2023-01-08,4000
2023-01-07,4000
2023-01-06,0
2023-01-05,4050
2023-01-04,4050
2023-01-03,4150
2023-01-02,4200
2023-01-01,4100
2022-12-31,0
2022-12-29,4000
2022-12-28,2000
2022-12-27,2400
2022-12-26,2000
2022-12-25,1750
2022-12-23,2150
2022-12-22,2000
2022-12-21,2000
2022-12-20,2650
2022-12-19,3100
2022-12-18,2500
2022-12-17,2400
2022-12-16,1500
2022-12-15,1650
2022-12-14,2650
2022-12-13,450
2022-12-12,2350
2022-12-11,1250
2022-12-09,0
2022-12-08,2850
2022-12-07,2500
2022-12-06,1750
2022-12-05,3250
2022-12-04,3200
2022-12-03,1250
2022-12-02,1500
2022-11-29,2200
2022-11-28,2400
2022-11-27,1500
2022-11-26,1650
2022-11-25,250
2022-11-24,2000
2022-11-23,2350
2022-11-22,2100
2022-11-21,2000
2022-11-20,1500
2022-11-19,1000
2022-11-17,2150
2022-11-16,1750
2022-11-15,1500
2022-11-14,700
2022-11-13,1600
2022-11-10,700
2022-11-09,1950
2022-11-08,3200
2022-11-07,2200
2022-11-06,1800
2022-11-05,2800
2022-11-03,1250
2022-11-02,850
2022-11-01,3100
2022-10-31,1100
2022-10-30,1300
2022-10-29,2050
2022-10-27,1250
2022-10-26,2350
2022-10-25,2250
2022-10-24,1150
2022-10-23,1000
2022-10-22,950
2022-10-21,1950
2022-10-20,350
2022-10-19,2000
2022-10-18,500
2022-10-17,1850
2022-10-16,2150
2022-10-15,500
2022-10-14,1000
2022-10-13,2000
2022-10-12,1000
2022-10-09,1000
2022-10-07,2000
2022-10-06,500
2022-09-06,4150
2022-09-05,500
2022-09-01,3000
2022-08-31,750
2022-08-30,500
2022-08-28,500
2022-08-25,500
2022-08-24,500
2022-08-23,1500
2022-08-22,250
2022-08-21,2750
2022-08-19,350
2022-08-17,1250
2022-08-13,1250
2022-08-12,2150
2022-08-11,250
2022-08-10,2500
2022-08-09,500
2022-08-05,1200
2022-08-04,2200
2022-08-03,900
2022-06-21,1500
2022-06-19,2000
2022-05-30,3000
2022-05-29,3000
2022-05-28,2000
2022-05-17,2000
2022-05-15,3150
2022-05-06,2350
2022-05-04,1000
2022-05-03,1000
2022-04-21,1000
2022-04-20,2000
2022-04-15,1000
2022-04-12,2300
2022-04-07,0
2022-03-29,0
